Centorid_representative_sequence	Cluster_Bin_ID	dRep_Genome_Rank	Bin_Taxonomy	NCBI_Taxonomy	KO	Final_Taxonomy
Ga0307118_14004711	Bryobacter_all_normalized_coassembly_Metabat_Bin5.fa	Winning_Genome	Fimbriimonadaceae CoA8N M5	Armatimonadetes Uphvl-Ar2	katG	Fimbriimonadaceae CoA8N M5
Ga0226666_10017068	Sample_53600_15.fa	Losing_Genome	Fimbriimonadaceae CoA8N M5	Armatimonadetes Uphvl-Ar2	katG	Fimbriimonadaceae CoA8N M5
Ga0307119_137535423	Bryobacter_all_coassembly_Metabat_Bin113.1.fa	Losing_Genome	Flammeovirgaceae 42896 C11	NA	katG	Flammeovirgaceae 42896 C11
Ga0071351_100002411	Sample_42896_megahit_CONCOCT_Bin11.fa	Winning_Genome	Flammeovirgaceae 42896 C11	NA	rpoB	Flammeovirgaceae 42896 C11
Ga0071351_100035513	Sample_42896_megahit_CONCOCT_Bin11.fa	Winning_Genome	Flammeovirgaceae 42896 C11	NA	katG	Flammeovirgaceae 42896 C11
Ga0071351_100010820	Sample_42896_20.fa	Winning_Genome	Flammeovirgaceae 42896 E20	NA	rpoB	Flammeovirgaceae 42896 E20
Ga0071351_100018032	Sample_42896_20.fa	Winning_Genome	Flammeovirgaceae 42896 E20	NA	katG	Flammeovirgaceae 42896 E20
Ga0114348_10000426	Sample_49625_12.fa	Winning_Genome	Flammeovirgaceae 49625 E12	NA	rpoB	Flammeovirgaceae 49625 E12
Ga0114348_100011011	Sample_49625_12.fa	Winning_Genome	Flammeovirgaceae 49625 E12	NA	katG	Flammeovirgaceae 49625 E12
Ga0307119_112534866	Bryobacter_all_coassembly_Metabat_Bin5.fa	Winning_Genome	Flammeovirgaceae CoA8 M5	NA	katG	Flammeovirgaceae CoA8 M5
Ga0307119_131257581	Bryobacter_all_normalized_coassembly_Metabat_Bin107.1.fa	Losing_Genome	Flammeovirgaceae CoA8 M5	NA	CCP	Flammeovirgaceae CoA8 M5
Ga0307119_1163527214	Bryobacter_all_normalized_coassembly_Metabat_Bin18.fa	Winning_Genome	Flammeovirgaceae CoA8N M18	NA	rpoB	Flammeovirgaceae CoA8N M18
Ga0307119_1270587013	Bryobacter_all_normalized_coassembly_Metabat_Bin18.fa	Winning_Genome	Flammeovirgaceae CoA8N M18	NA	katG	Flammeovirgaceae CoA8N M18
Ga0307119_115191219	Not Binned	NA	Unassigned	Flavobacteriaceae	rpoB	Flavobacteriaceae
Ga0307119_125054702	Not Binned	NA	Unassigned	Flavobacteriaceae	CCP	Flavobacteriaceae
Ga0307119_125054704	Not Binned	NA	Unassigned	Flavobacteriaceae	CCP	Flavobacteriaceae
Ga0307119_107261991	Not Binned	NA	Unassigned	Flavobacteriaceae	ahpC	Flavobacteriaceae
Ga0307119_118782044	Not Binned	NA	Unassigned	Flavobacteriaceae	katG	Flavobacteriaceae
Ga0114336_100063119	Not Binned	NA	Unassigned	Flavobacteriales	rpoB	Flavobacteriales
Ga0114841_10624613	Not Binned	NA	Unassigned	Flavobacteriales	ahpC	Flavobacteriales
Ga0114336_10244304	Not Binned	NA	Unassigned	Flavobacteriales	ahpC	Flavobacteriales
Ga0114354_101455717	Not Binned	NA	Unassigned	Flavobacteriales	rpoB	Flavobacteriales
Ga0114354_10026052	Not Binned	NA	Unassigned	Flavobacteriales	rpoB	Flavobacteriales
Ga0114354_10118451	Not Binned	NA	Unassigned	Flavobacteriales	rpoB	Flavobacteriales
Ga0114351_100878214	Not Binned	NA	Unassigned	Flavobacteriales	rpoB	Flavobacteriales
Ga0307119_124586392	Not Binned	NA	Unassigned	Flavobacterium	ahpC	Flavobacterium
Ga0365732_0150867_3_461	Not Binned	NA	Unassigned	Flavobacterium	ahpC	Flavobacterium
Ga0307119_106598982	Not Binned	NA	Unassigned	Flavobacterium	ahpC	Flavobacterium
Ga0114341_106350961	Not Binned	NA	Unassigned	Flavobacterium	ahpC	Flavobacterium
Ga0114354_10021941	Not Binned	NA	Unassigned	Flavobacterium	rpoB	Flavobacterium
Ga0114347_10043412	Sample_49624_28.fa	Winning_Genome	Fluviicola	NA	ahpC	Fluviicola
Ga0114347_10012681	Sample_49624_28.fa	Winning_Genome	Fluviicola	NA	rpoB	Fluviicola
Ga0114336_10122952	Sample_49613_7.fa	Losing_Genome	Gemmataceae 49618 E45	NA	katG	Gemmataceae 49618 E45
Ga0114336_100018024	Sample_49618_45.fa	Winning_Genome	Gemmataceae 49618 E45	NA	CCP	Gemmataceae 49618 E45
Ga0114336_100045323	Sample_49618_45.fa	Winning_Genome	Gemmataceae 49618 E45	NA	ahpC	Gemmataceae 49618 E45
Ga0114341_1000222017	Sample_49618_45.fa	Winning_Genome	Gemmataceae 49618 E45	NA	rpoB	Gemmataceae 49618 E45
Ga0114341_100296611	Sample_49618_45.fa	Winning_Genome	Gemmataceae 49618 E45	NA	katG	Gemmataceae 49618 E45
Ga0114341_1000057075	Sample_49618_39.1.fa	Winning_Genome	Gemmatimonadetes 49618 E39	NA	rpoB	Gemmatimonadetes 49618 E39
Ga0114341_100006655	Sample_49618_39.1.fa	Winning_Genome	Gemmatimonadetes 49618 E39	NA	katG	Gemmatimonadetes 49618 E39
Ga0307119_133226691	Bryobacter_all_coassembly_Metabat_Bin24.1.fa	Losing_Genome	Gemmatimonadetes CoA2 M2	NA	CCP	Gemmatimonadetes CoA2 M2
Ga0307119_128412912	Bryobacter_all_coassembly_Metabat_Bin24.1.fa	Losing_Genome	Gemmatimonadetes CoA2 M2	NA	rpoB	Gemmatimonadetes CoA2 M2
Ga0365732_0619299_13799_14908	Bryobacter_all_normalized_coassembly_Metabat_Bin54.fa	Losing_Genome	Gemmatimonadetes CoA2 M2	NA	CCP	Gemmatimonadetes CoA2 M2
Ga0365732_0937728_42811_45006	Bryobacter_all_normalized_coassembly_Metabat_Bin54.fa	Losing_Genome	Gemmatimonadetes CoA2 M2	NA	katG	Gemmatimonadetes CoA2 M2
Ga0307117_13734259	Sample_42896_53600_coassembly_Metabat_Bin2.fa	Winning_Genome	Gemmatimonadetes CoA2 M2	NA	CCP	Gemmatimonadetes CoA2 M2
Ga0226666_10030984	Sample_42896_53600_coassembly_Metabat_Bin2.fa	Winning_Genome	Gemmatimonadetes CoA2 M2	NA	ahpC	Gemmatimonadetes CoA2 M2
Ga0307118_10980351	Sample_42896_53600_coassembly_Metabat_Bin2.fa	Winning_Genome	Gemmatimonadetes CoA2 M2	NA	rpoB	Gemmatimonadetes CoA2 M2
Ga0226666_10012135	Sample_42896_53600_coassembly_Metabat_Bin2.fa	Winning_Genome	Gemmatimonadetes CoA2 M2	NA	katG	Gemmatimonadetes CoA2 M2
Ga0071351_100004114	Bryobacter_all_normalized_coassembly_Metabat_Bin4.fa	Winning_Genome	Gemmatimonadetes CoA8N M4	NA	rpoB	Gemmatimonadetes CoA8N M4
Ga0071351_100006215	Bryobacter_all_normalized_coassembly_Metabat_Bin4.fa	Winning_Genome	Gemmatimonadetes CoA8N M4	NA	katG	Gemmatimonadetes CoA8N M4
Ga0226666_10086361	Sample_53600_27.fa	Losing_Genome	Gemmatimonadetes CoA8N M4	Gemmatimonas	rpoB	Gemmatimonadetes CoA8N M4
Ga0365732_0071853_9485_13099	Bryobacter_all_normalized_coassembly_Metabat_Bin110.fa	Winning_Genome	Gemmatimonas	Gemmatimonas	rpoB	Gemmatimonas
Ga0307119_1091315442	Bryobacter_all_normalized_coassembly_Metabat_Bin110.fa	Winning_Genome	Gemmatimonas	NA	CCP	Gemmatimonas
Ga0307118_16886272	Bryobacter_all_normalized_coassembly_Metabat_Bin110.fa	Winning_Genome	Gemmatimonas	NA	CCP	Gemmatimonas
Ga0307118_169188426	Bryobacter_all_normalized_coassembly_Metabat_Bin110.fa	Winning_Genome	Gemmatimonas	NA	katG	Gemmatimonas
Ga0307118_11897511	Not Binned	NA	Unassigned	Gemmatimonas	rpoB	Gemmatimonas
Ga0114341_101308042	Bryobacter_all_normalized_coassembly_Metabat_Bin109.1.fa	Losing_Genome	Hyphomonadaceae UKL13-1	Aquidulcibacter	ahpC	Hyphomonadaceae UKL13-1 / Aquidulcibacter
Ga0071351_100097310	Sample_42896_10.fa	Losing_Genome	Hyphomonadaceae UKL13-1	Aquidulcibacter	ahpC	Hyphomonadaceae UKL13-1 / Aquidulcibacter
Ga0071351_10076892	Sample_42896_10.fa	Losing_Genome	Hyphomonadaceae UKL13-1	Microcystis	katG	Microcystis
Ga0071351_100032916	Sample_42896_megahit_CONCOCT_Bin36.fa	Winning_Genome	Hyphomonadaceae UKL13-1	Alphaproteobacteria PA1	katG	Hyphomonadaceae UKL13-1 / Aquidulcibacter
Ga0307117_12480481	Sample_42896_megahit_CONCOCT_Bin36.fa	Winning_Genome	Hyphomonadaceae UKL13-1	Aquidulcibacter	ahpC	Hyphomonadaceae UKL13-1 / Aquidulcibacter
Ga0365732_1024214_4624_8781	Sample_42896_megahit_CONCOCT_Bin36.fa	Winning_Genome	Hyphomonadaceae UKL13-1	Hyphomonadaceae bacterium UKL13-1	rpoB	Hyphomonadaceae UKL13-1 / Aquidulcibacter
Ga0071351_10009733	Sample_42896_megahit_CONCOCT_Bin36.fa	Winning_Genome	Hyphomonadaceae UKL13-1	NA	ahpC	Hyphomonadaceae UKL13-1 / Aquidulcibacter
Ga0114347_100022114	Sample_49624_23.fa	Winning_Genome	Ignavibacteriae 49624 E23	NA	rpoB	Ignavibacteriae 49624 E23
Ga0114347_10140403	Sample_49624_23.fa	Winning_Genome	Ignavibacteriae 49624 E23	NA	katG	Ignavibacteriae 49624 E23
Ga0226807_10077531	Sample_49614_41.fa	Losing_Genome	Ilumatobacteraceae 49618 E24	NA	katG	Ilumatobacteraceae 49618 E24
Ga0114341_100067462	Sample_49618_24.fa	Winning_Genome	Ilumatobacteraceae 49618 E24	NA	katG	Ilumatobacteraceae 49618 E24
Ga0307119_110061941	Bryobacter_all_coassembly_VizBin_Bin15.fa	Losing_Genome	Burkholderiales 49624 E46	Limnobacter	rpoB	Limnobacter
Ga0114347_100018636	Sample_49624_46.fa	Winning_Genome	Burkholderiales 49624 E46	Limnobacter	ahpC	Limnobacter
Ga0114347_10043196	Not Binned	NA	Unassigned	Limnobacter	rpoB	Limnobacter
Ga0114336_100395918	Sample_49613_45.2.fa	Winning_Genome	Comamonadaceae 49613 E45.2	Limnohabitans	ahpC	Limnohabitans
Ga0114337_100024652	Sample_49618_9.fa	Winning_Genome	Comamonadaceae 49618 E9	Limnohabitans	ahpC	Limnohabitans
Ga0114337_10069161	Sample_49618_9.fa	Winning_Genome	Comamonadaceae 49618 E9	Limnohabitans	rpoB	Limnohabitans
Ga0114337_100003930	Sample_49618_9.fa	Winning_Genome	Comamonadaceae 49618 E9	NA	CCP	Limnohabitans
Ga0226807_100027036	Sample_49618_9.fa	Winning_Genome	Comamonadaceae 49618 E9	NA	katG	Limnohabitans
Ga0114337_11504772	Sample_49638_12.fa	Winning_Genome	Limnohabitans	Limnohabitans	ahpC	Limnohabitans
Ga0114841_10013299	Sample_49638_12.fa	Winning_Genome	Limnohabitans	Limnohabitans	rpoB	Limnohabitans
Ga0114336_10181424	Not Binned	NA	Unassigned	Limnohabitans	ahpC	Limnohabitans
Ga0114351_100400314	Not Binned	NA	Unassigned	Limnohabitans	ahpC	Limnohabitans
Ga0114354_10281791	Not Binned	NA	Unassigned	Limnohabitans	ahpC	Limnohabitans
Ga0226807_10990372	Not Binned	NA	Unassigned	Limnohabitans	ahpC	Limnohabitans
Ga0114354_13142641	Not Binned	NA	Unassigned	Limnohabitans	ahpC	Limnohabitans
Ga0114336_10278361	Not Binned	NA	Unassigned	Limnohabitans	rpoB	Limnohabitans
Ga0114351_10346581	Not Binned	NA	Unassigned	Limnohabitans	rpoB	Limnohabitans
Ga0114347_10158961	Not Binned	NA	Unassigned	Limnohabitans	rpoB	Limnohabitans
Ga0114336_10216447	Not Binned	NA	Unassigned	Limnohabitans	rpoB	Limnohabitans
Ga0114341_1000029733	Bryobacter_all_normalized_coassembly_ESOM_Bin16.fa	Winning_Genome	Luteolibacter	NA	rpoB	Luteolibacter
Ga0114341_100028745	Sample_49618_51.fa	Losing_Genome	Luteolibacter	NA	katG	Luteolibacter
Ga0071351_10046412	Not Binned	NA	Unassigned	Methylobacterium	rpoB	Methylobacterium
Ga0365732_1952738_1_3672	Not Binned	NA	Unassigned	Methylobacterium	rpoB	Methylobacterium
Ga0307117_10043651	Not Binned	NA	Unassigned	Methylobacterium	rpoB	Methylobacterium
Ga0114336_10070563	Not Binned	NA	Unassigned	Methylophilaceae	rpoB	Methylophilaceae
Ga0114337_10082876	Not Binned	NA	Unassigned	Methylophilaceae	rpoB	Methylophilaceae
Ga0114336_10187043	Not Binned	NA	Unassigned	Methylophilaceae	rpoB	Methylophilaceae
Ga0114347_10191212	Not Binned	NA	Unassigned	Methylophilaceae	rpoB	Methylophilaceae
Ga0114337_10337541	Not Binned	NA	Unassigned	Methylophilaceae	rpoB	Methylophilaceae
Ga0114347_10245771	Not Binned	NA	Unassigned	Methylophilaceae	rpoB	Methylophilaceae
Ga0226810_10141411	Not Binned	NA	Unassigned	Methylophilaceae	rpoB	Methylophilaceae
Ga0226806_1000998	Sample_42896_13.fa	Losing_Genome	Microcystis	Microcystis	ahpC	Microcystis
Ga0114337_10484471	Sample_49628_54.fa	Losing_Genome	Microcystis	Microcystis	ahpC	Microcystis
Ga0226808_1047541	Sample_49638_5.fa	Winning_Genome	Microcystis	Microcystis	ahpC	Microcystis
Ga0114841_100006677	Sample_49638_5.fa	Winning_Genome	Microcystis	Microcystis	rpoB	Microcystis
Ga0307117_11181601	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0226815_1014671	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0226806_1065081	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0226669_10647411	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0226665_10968301	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0114352_11977631	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0114356_14113381	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0307118_12182281	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0114359_12042691	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0114341_102975371	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0226811_10660051	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0114338_12117571	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0114345_12205671	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0226807_10771072	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0365732_0567707_4_501	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0307119_106506281	Not Binned	NA	Unassigned	Microcystis	ahpC	Microcystis
Ga0114361_10137151	Not Binned	NA	Unassigned	Microcystis	rpoB	Microcystis
Ga0114344_10165951	Not Binned	NA	Unassigned	Microcystis	rpoB	Microcystis
Ga0114354_10211341	Not Binned	NA	Unassigned	Microcystis	rpoB	Microcystis
Ga0226808_1002244	Not Binned	NA	Unassigned	Microcystis	rpoB	Microcystis
Ga0114351_10361914	Not Binned	NA	Unassigned	Microcystis	rpoB	Microcystis
Ga0307117_10576861	Not Binned	NA	Unassigned	Microcystis	rpoB	Microcystis
Ga0307118_10752863	Bryobacter_all_normalized_coassembly_VizBin_Bin37.1.fa	Losing_Genome	Nitrosomonadaceae CoA8N M54	NA	ahpC	Nitrosomonadaceae CoA8N M54
Ga0114337_10072111	Sample_49614_48.fa	Winning_Genome	Novosphingobium	Sphingobium	katG	Novosphingobium
Ga0114336_10045924	Sample_49613_5.fa	Winning_Genome	Opitutaceae 49613 E5	NA	katG	Opitutaceae 49613 E5
Ga0114336_100002945	Sample_49613_5.fa	Winning_Genome	Opitutaceae 49613 E5	Opitutae bacterium Tous-C1TDCM	rpoB	Opitutaceae 49613 E5
Ga0114347_10140271	Not Binned	NA	Unassigned	Opitutae	rpoB	Opitutae
Ga0114354_10254791	Not Binned	NA	Unassigned	Opitutae	rpoB	Opitutae
Ga0114336_100211615	Not Binned	NA	Unassigned	Opitutae	rpoB	Opitutae
Ga0114351_10369662	Not Binned	NA	Unassigned	Opitutae	rpoB	Opitutae
Ga0114336_10193951	Not Binned	NA	Unassigned	Opitutae	katG	Opitutae
Ga0114354_10281852	Not Binned	NA	Unassigned	Opitutae	katG	Opitutae
Ga0114336_100003258	Not Binned	NA	Unassigned	Opitutae bacterium Tous-C2FEB	rpoB	Opitutae bacterium Tous-C2FEB
Ga0114336_100017818	Sample_49613_41.fa	Winning_Genome	Oxalobacteraceae 49613 E41	NA	ahpC	Oxalobacteraceae 49613 E41
Ga0114336_10024439	Sample_49613_42.fa	Winning_Genome	Oxalobacteraceae 49613 E42	NA	rpoB	Oxalobacteraceae 49613 E42
Ga0114336_100043720	Sample_49613_43.fa	Winning_Genome	Oxalobacteraceae 49613 E43	NA	ahpC	Oxalobacteraceae 49613 E43
Ga0114337_10062307	Sample_49614_52.fa	Winning_Genome	Oxalobacteraceae 49614 E52	NA	ahpC	Oxalobacteraceae 49614 E52
Ga0226807_10041334	Sample_49614_52.fa	Winning_Genome	Oxalobacteraceae 49614 E52	NA	rpoB	Oxalobacteraceae 49614 E52
Ga0307119_1105319615	Bryobacter_all_coassembly_Metabat_Bin59.1.fa	Winning_Genome	Parachlamydia	NA	ahpC	Parachlamydia
Ga0114337_10011944	Sample_49614_7.fa	Winning_Genome	Pedosphaeraceae 49614 E7	NA	ahpC	Pedosphaeraceae 49614 E7
Ga0114337_10008959	Sample_49614_7.fa	Winning_Genome	Pedosphaeraceae 49614 E7	NA	rpoB	Pedosphaeraceae 49614 E7
Ga0114356_15292432	Not Binned	NA	Unassigned	Pelagibacterales	ahpC	Pelagibacterales
Ga0114336_10126182	Not Binned	NA	Unassigned	Pelagibacterales	rpoB	Pelagibacterales
Ga0226810_10058062	Not Binned	NA	Unassigned	Pelagibacterales	rpoB	Pelagibacterales
Ga0226807_10046476	Not Binned	NA	Unassigned	Pelagibacterales	rpoB	Pelagibacterales
Ga0226814_1008071	Not Binned	NA	Unassigned	Pelagibacterales	rpoB	Pelagibacterales
Ga0226810_10196221	Not Binned	NA	Unassigned	Pelagibacterales	rpoB	Pelagibacterales
Ga0226812_1003262	Not Binned	NA	Unassigned	Pelagibacterales	rpoB	Pelagibacterales
Ga0114354_10227651	Not Binned	NA	Unassigned	Pelagibacterales	rpoB	Pelagibacterales
Ga0226817_100120191	Not Binned	NA	Unassigned	Pelagibacterales	rpoB	Pelagibacterales
Ga0114337_100202010	Not Binned	NA	Unassigned	Pelagibacterales	rpoB	Pelagibacterales
Ga0114356_100370412	Not Binned	NA	Unassigned	Pelagibacterales	rpoB	Pelagibacterales
Ga0307118_14237033	Bryobacter_all_coassembly_Metabat_Bin46.fa	Winning_Genome	Phenylobacterium	Phenylobacterium	rpoB	Phenylobacterium
Ga0114338_10018117	Sample_49615_5.1.fa	Winning_Genome	Phenylobacterium	Phenylobacterium	rpoB	Phenylobacterium
Ga0114338_100080013	Sample_49615_5.1.fa	Winning_Genome	Phenylobacterium	Phenylobacterium	katG	Phenylobacterium
Ga0114348_10012212	Not Binned	NA	Unassigned	Phenylobacterium	rpoB	Phenylobacterium
Ga0226666_10051652	Not Binned	NA	Unassigned	Phenylobacterium	rpoB	Phenylobacterium
Ga0307117_12751092	Not Binned	NA	Unassigned	Phenylobacterium	rpoB	Phenylobacterium
Ga0226669_10013451	Not Binned	NA	Unassigned	Phenylobacterium	rpoB	Phenylobacterium
Ga0365732_2019163_1_3819	Not Binned	NA	Unassigned	Phenylobacterium	rpoB	Phenylobacterium
Ga0071351_10079591	Not Binned	NA	Unassigned	Phenylobacterium	rpoB	Phenylobacterium
Ga0114348_10042972	Not Binned	NA	Unassigned	Phenylobacterium	rpoB	Phenylobacterium
Ga0307119_137216152	Not Binned	NA	Unassigned	Phenylobacterium	rpoB	Phenylobacterium
Ga0365732_0010102_331_4401	Not Binned	NA	Unassigned	Phenylobacterium	rpoB	Phenylobacterium
Ga0226811_10022281	Not Binned	NA	Unassigned	Phenylobacterium	rpoB	Phenylobacterium
Ga0114341_100802101	Not Binned	NA	Unassigned	Phenylobacterium	katG	Phenylobacterium
Ga0307117_12961451	Not Binned	NA	Unassigned	Phenylobacterium	katG	Phenylobacterium
Ga0071351_10008914	Not Binned	NA	Unassigned	Phenylobacterium	katG	Phenylobacterium
Ga0307119_118906831	Not Binned	NA	Unassigned	Phenylobacterium	katG	Phenylobacterium
Ga0071351_100002746	Sample_42896_15.fa	Winning_Genome	Phycisphaeraceae SM1A02 42896 E15	NA	rpoB	Phycisphaeraceae SM1A02 42896 E15
Ga0307118_13767305	Bryobacter_all_coassembly_VizBin_Bin101.fa	Winning_Genome	Phycisphaeraceae SM1A02 CoA8 V101	NA	rpoB	Phycisphaeraceae SM1A02 CoA8 V101
Ga0114338_10031565	Bryobacter_all_coassembly_CONCOCT_Bin32.fa	Winning_Genome	Pirellula	NA	CCP	Pirellula
Ga0114338_100073834	Bryobacter_all_coassembly_CONCOCT_Bin32.fa	Winning_Genome	Pirellula	NA	ahpC	Pirellula
Ga0226667_10002217	Bryobacter_all_coassembly_CONCOCT_Bin32.fa	Winning_Genome	Pirellula	NA	rpoB	Pirellula
Ga0114337_100029136	Sample_49618_55.4.fa	Winning_Genome	Pirellula	NA	katG	Pirellula
Ga0114337_10011205	Sample_49618_55.4.fa	Winning_Genome	Pirellula	Planctomycetes	CCP	Pirellula
Ga0114337_10227374	Sample_49618_55.4.fa	Winning_Genome	Pirellula	Planctomycetes	ahpC	Pirellula
Ga0114341_1000184516	Sample_49618_55.4.fa	Winning_Genome	Pirellula	Planctomycetes	rpoB	Pirellula
Ga0114347_100176514	Sample_49624_51.1.fa	Winning_Genome	Pirellula	Planctomycetes	CCP	Pirellula
Ga0114347_100108430	Sample_49624_51.1.fa	Winning_Genome	Pirellula	Planctomycetes	rpoB	Pirellula
Ga0114347_100048534	Sample_49624_51.1.fa	Winning_Genome	Pirellula	Planctomycetes	katG	Pirellula
Ga0114337_10133917	Sample_49618_42.fa	Winning_Genome	Planctomyces	NA	CCP	Planctomyces
Ga0114337_100036322	Sample_49618_42.fa	Winning_Genome	Planctomyces	NA	ahpC	Planctomyces
Ga0114341_10000080127	Sample_49618_42.fa	Winning_Genome	Planctomyces	NA	rpoB	Planctomyces
Ga0114336_100114825	Sample_49613_24.1.fa	Winning_Genome	Planctomycetaceae 49613 E24	NA	rpoB	Planctomycetaceae 49613 E24
Ga0114336_100117218	Sample_49613_24.1.fa	Winning_Genome	Planctomycetaceae 49613 E24	NA	katG	Planctomycetaceae 49613 E24
Ga0114336_10060092	Sample_49613_25.fa	Winning_Genome	Planctomycetaceae 49613 E25	NA	rpoB	Planctomycetaceae 49613 E25
Ga0114336_10044244	Sample_49613_25.fa	Winning_Genome	Planctomycetaceae 49613 E25	NA	katG	Planctomycetaceae 49613 E25
Ga0114336_10036162	Sample_49613_27.fa	Winning_Genome	Planctomycetaceae 49613 E27	NA	rpoB	Planctomycetaceae 49613 E27
Ga0114336_10115444	Sample_49613_27.fa	Winning_Genome	Planctomycetaceae 49613 E27	NA	katG	Planctomycetaceae 49613 E27
Ga0114337_100004857	Sample_49618_55.1.fa	Winning_Genome	Planctomycetaceae 49618 E55	NA	CCP	Planctomycetaceae 49618 E55
Ga0114337_100003236	Sample_49618_55.1.fa	Winning_Genome	Planctomycetaceae 49618 E55	Planctomycetes	ahpC	Planctomycetaceae 49618 E55
Ga0226809_10035691	Sample_49618_55.1.fa	Winning_Genome	Planctomycetaceae 49618 E55	Planctomycetes	rpoB	Planctomycetaceae 49618 E55
Ga0114337_1000027173	Sample_49618_55.1.fa	Winning_Genome	Planctomycetaceae 49618 E55	Planctomycetes	rpoB	Planctomycetaceae 49618 E55
Ga0114337_10158696	Sample_49618_55.3.fa	Winning_Genome	Planctomycetaceae 49618 E55.3	NA	CCP	Planctomycetaceae 49618 E55.3
Ga0114337_10039844	Sample_49618_55.3.fa	Winning_Genome	Planctomycetaceae 49618 E55.3	Planctomycetes	rpoB	Planctomycetaceae 49618 E55.3
Ga0114351_100467715	Sample_49628_33.1.fa	Winning_Genome	Planctomycetaceae 49628 E33	NA	CCP	Planctomycetaceae 49628 E33
Ga0114351_10016243	Sample_49628_33.1.fa	Winning_Genome	Planctomycetaceae 49628 E33	NA	CCP	Planctomycetaceae 49628 E33
Ga0114351_100037968	Sample_49628_33.1.fa	Winning_Genome	Planctomycetaceae 49628 E33	NA	ahpC	Planctomycetaceae 49628 E33
Ga0226666_100010933	Sample_53600_7.fa	Winning_Genome	Planctomycetaceae 53600 E7	NA	rpoB	Planctomycetaceae 53600 E7
Ga0226666_100012518	Sample_53600_7.fa	Winning_Genome	Planctomycetaceae 53600 E7	NA	katG	Planctomycetaceae 53600 E7
Ga0114337_100044032	Not Binned	NA	Unassigned	Planctomycetes	ahpC	Planctomycetes
Ga0114341_1000013656	Not Binned	NA	Unassigned	Planctomycetes	ahpC	Planctomycetes
Ga0114341_100623472	Not Binned	NA	Unassigned	Planctomycetes	ahpC	Planctomycetes
Ga0114351_10103988	Not Binned	NA	Unassigned	Planctomycetes	ahpC	Planctomycetes
Ga0114344_10554132	Not Binned	NA	Unassigned	Planctomycetes	ahpC	Planctomycetes
Ga0114337_10136411	Not Binned	NA	Unassigned	Planctomycetes	rpoB	Planctomycetes
Ga0226807_10112223	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0226807_10112261	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0114351_10490171	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0226809_10019043	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0114351_10252142	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0114841_10282121	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0114344_10055291	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0114344_10035664	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0114841_10131002	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0114336_10199986	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0226809_10032491	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0114336_10243112	Not Binned	NA	Unassigned	Polynucleobacter	rpoB	Polynucleobacter
Ga0114351_100005226	Sample_49628_63.fa	Winning_Genome	Proteobacteria 49628 E63	NA	ahpC	Proteobacteria 49628 E63
Ga0114351_100049421	Sample_49628_63.fa	Winning_Genome	Proteobacteria 49628 E63	NA	katG	Proteobacteria 49628 E63
Ga0307119_123614431	Bryobacter_all_coassembly_CONCOCT_Bin15.2.fa	Winning_Genome	Proteobacteria CoA8 C15	NA	ahpC	Proteobacteria CoA8 C15
Ga0307119_1360222514	Bryobacter_all_coassembly_CONCOCT_Bin15.2.fa	Winning_Genome	Proteobacteria CoA8 C15	NA	rpoB	Proteobacteria CoA8 C15
Ga0071351_10177221	Bryobacter_all_coassembly_Metabat_Bin100.fa	Winning_Genome	Proteobacteria CoA8 M100	NA	ahpC	Proteobacteria CoA8 M100
Ga0307117_10988323	Bryobacter_all_coassembly_Metabat_Bin100.fa	Winning_Genome	Proteobacteria CoA8 M100	NA	ahpC	Proteobacteria CoA8 M100
